id,listing_url,host_name,neighbourhood,neighbourhood_cleansed,property_type,room_type,price,minimum_nights,maximum_nights,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,license,calculated_host_listings_count
27640141,https://www.airbnb.com/rooms/27640141,Liora,Toronto,Dovercourt-Wallace Emerson-Junction,Entire guest suite,Entire home/apt,90.0,28,1125,t,0,25,55,145,47,Unlicensed,2
27826009,https://www.airbnb.com/rooms/27826009,Brianne,Toronto,Waterfront Communities-The Island,Entire condo,Entire home/apt,130.0,28,1125,t,0,0,0,0,2,Unlicensed,1
27647117,https://www.airbnb.com/rooms/27647117,Alexandra,Toronto,Playter Estates-Danforth,Entire rental unit,Entire home/apt,45.0,28,30,t,0,0,0,0,4,Unlicensed,1
27647509,https://www.airbnb.com/rooms/27647509,Rosana,Toronto,High Park North,Private room in rental unit,Private room,80.0,28,1125,t,0,0,0,0,9,Unlicensed,1
27653375,https://www.airbnb.com/rooms/27653375,Ayk,Toronto,Waterfront Communities-The Island,Entire condo,Entire home/apt,1999.0,28,90,t,30,60,90,179,20,Licensed,37
27827073,https://www.airbnb.com/rooms/27827073,Andrew,Toronto,The Beaches,Entire home,Entire home/apt,359.0,2,80,t,18,48,48,98,8,Licensed,2
27658681,https://www.airbnb.com/rooms/27658681,Dale,Toronto,The Beaches,Entire guest suite,Entire home/apt,185.0,2,1125,t,6,27,52,327,41,Licensed,1
27831815,https://www.airbnb.com/rooms/27831815,Nathalie,Toronto,Waterfront Communities-The Island,Entire condo,Entire home/apt,495.0,28,365,t,6,36,66,156,7,Unlicensed,1
27832397,https://www.airbnb.com/rooms/27832397,Kate,Toronto,Roncesvalles,Entire guest suite,Entire home/apt,90.0,2,14,t,3,3,3,3,73,Licensed,1
27675456,https://www.airbnb.com/rooms/27675456,Jacky,Scarborough,Oakridge,Private room in home,Private room,54.0,28,60,t,15,45,75,75,3,Licensed,4
27834504,https://www.airbnb.com/rooms/27834504,Jessie,Toronto,Little Portugal,Entire rental unit,Entire home/apt,150.0,28,1125,t,0,0,0,0,10,Unlicensed,1
27677502,https://www.airbnb.com/rooms/27677502,Shuwan,Toronto,Lawrence Park North,Entire bungalow,Entire home/apt,173.0,28,1125,t,1,16,46,136,18,Unlicensed,1
27835179,https://www.airbnb.com/rooms/27835179,Jack,Toronto,Niagara,Private room in condo,Private room,100.0,28,30,t,0,0,0,0,5,Unlicensed,3
27835763,https://www.airbnb.com/rooms/27835763,Mohamed,Etobicoke,Eringate-Centennial-West Deane,Private room in condo,Private room,100.0,28,30,t,0,0,0,0,35,Unlicensed,1
27692483,https://www.airbnb.com/rooms/27692483,Caroline,Toronto,University,Entire townhouse,Entire home/apt,120.0,28,90,t,9,39,69,158,12,Unlicensed,1
27838056,https://www.airbnb.com/rooms/27838056,Shahrzad,North York,Bayview Village,Private room in home,Private room,90.0,1,1125,t,14,14,14,14,33,Licensed,2
27847196,https://www.airbnb.com/rooms/27847196,Jack,Toronto,Waterfront Communities-The Island,Entire condo,Entire home/apt,300.0,28,30,t,0,0,0,0,8,Unlicensed,3
27694920,https://www.airbnb.com/rooms/27694920,Dante,Toronto,South Parkdale,Entire rental unit,Entire home/apt,150.0,28,175,t,14,44,74,163,102,Licensed,3
27854767,https://www.airbnb.com/rooms/27854767,Jia,Toronto,Dovercourt-Wallace Emerson-Junction,Private room in condo,Private room,50.0,28,30,t,0,0,0,0,3,Unlicensed,1
27695910,https://www.airbnb.com/rooms/27695910,John,Toronto,Waterfront Communities-The Island,Private room in condo,Private room,51.0,28,1125,t,0,0,0,0,6,Unlicensed,1
27867942,https://www.airbnb.com/rooms/27867942,Tai,York,Oakwood Village,Private room in rental unit,Private room,48.0,28,1125,t,7,37,67,67,71,Unlicensed,8
27700633,https://www.airbnb.com/rooms/27700633,Lucy,Scarborough,L'Amoreaux,Private room in home,Private room,21.0,28,365,t,0,0,0,0,0,Unlicensed,1
27701168,https://www.airbnb.com/rooms/27701168,Jordan,Toronto,Dovercourt-Wallace Emerson-Junction,Entire home,Entire home/apt,494.0,1,1125,t,7,27,56,56,254,Licensed,7
27875720,https://www.airbnb.com/rooms/27875720,Lish,Toronto,Annex,Entire rental unit,Entire home/apt,121.0,29,1125,t,0,0,0,264,96,Unlicensed,7
27877707,https://www.airbnb.com/rooms/27877707,Graham,Toronto,Waterfront Communities-The Island,Entire condo,Entire home/apt,150.0,28,1125,t,0,0,0,0,16,Unlicensed,1
27879646,https://www.airbnb.com/rooms/27879646,Alina,Toronto,Blake-Jones,Private room in home,Private room,45.0,30,45,t,6,16,43,43,32,Unlicensed,2
27704154,https://www.airbnb.com/rooms/27704154,Meisam,North York,Willowdale East,Entire rental unit,Entire home/apt,199.0,28,365,t,30,60,90,365,8,Unlicensed,16
27898676,https://www.airbnb.com/rooms/27898676,Susie,Scarborough,Agincourt South-Malvern West,Private room in villa,Private room,32.0,29,1125,t,0,0,0,0,17,Unlicensed,4
27704943,https://www.airbnb.com/rooms/27704943,Hildson,York,Oakwood Village,Private room in rental unit,Private room,80.0,28,90,t,0,0,0,0,11,Unlicensed,1
27899203,https://www.airbnb.com/rooms/27899203,Sergio,Scarborough,Clairlea-Birchmount,Private room in townhouse,Private room,100.0,28,1125,t,30,60,90,365,13,Unlicensed,2
